descricao;remuneracao;ch;requisito
Analista Contábil;5800;44h;Ensino Superior Completo em Contabilidade
Analista de Contratos;5800;44h;Ensino Superior Completo em Direito, com inscrição na OAB
Analista Financeiro;5800;44h;Ensino Superior Completo em Administração ou Economia
Analista Jurídico;5800;44h;Ensino Superior Completo em Direito, com inscrição na OAB
Assessor I;4000;44h;Ensino Superior Completo
Assessor II;2500;44h;Diploma ou certificado de nível médio e/ou técnico. 
Agente Patrimonial;2500;44h;Diploma ou certificado de nível médio e/ou técnico. Com experiência comprovada.
Guardião de Piscina;953,47;10h;Ensino Médio Completo com curso de Guardião de Piscina - GMAR
Técnico de Informática;1265,5;44h;Ensino Médio Técnico Completo em Informática
Instrutor Docente I Biologia;14,89;h/a;Possuir curso superior e ter experiência comprovada na disciplina em que irá ministrar instrução. 
Instrutor Docente I de Educação Física;14,89;h/a;Possuir curso superior e ter experiência comprovada na disciplina em que irá ministrar instrução.
Instrutor Docente I de Informática;14,89;h/a;Possuir curso superior e ter experiência comprovada na disciplina em que irá ministrar instrução.
Instrutor Docente I Educação Física PCD;14,89;h/a;"Possuir diploma obtido em curso de Educação Física, oficialmente autorizado e reconhecido; ser regularmente registrado no Conselho Regional de Educação Física (Conforme termo das Lei 9696/98 –Anexo II), e ter experiência comprovada com atividades com crianças, jovens e adultos com deficiência intelectual ou intelectual e física."
Instrutor Docente I Física;14,89;h/a;Possuir curso superior e ter experiência comprovada na disciplina em que irá ministrar instrução.
Instrutor Docente I Teoria Musical;14,89;h/a;Possuir curso superior e ter experiência comprovada na disciplina em que irá ministrar instrução.
Instrutor Especialista Confeiteiro;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Sistemas Eletrônicos de Segurança;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Almoxarife;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Autocad;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Auxiliar Administrativo;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Banda e Fanfarra: Guitarra;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Banda e Fanfarra: Teclado;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Banda e Fanfarra: Tuba;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Banda e Fanfarra: Violão;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Barman;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Canto e Coral;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista CFTV e Automação;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Controle de armazenamento e expedição;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Copa;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Cutelaria/Chaveiro;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Dança;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Designer de Cílios e Sobrancelhas;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Designer de móveis / Desenho de móveis;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Estética;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Garçom/Cumin;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Instalação de divisória em eucatex, madeira PVC e Gesso;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Locutor;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Mecânica de refrigeração e Climatização;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Montagem de Móveis;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Pintor de Obras;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Promoção de vendas e vendas por Telemarketing;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Reformador de Móveis;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Revestimento Cerâmico;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Serviços, Assistência e Auxiliar Administrativo;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Teatro;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Telecomunicação Irla e Cabista ORA;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Telemarketing / Teleatendimento;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Teoria Musical;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
Instrutor Especialista Web Designer;11,9;h/a;Possuir o ensino médio, preferencialmente técnico ou superior e ter experiência comprovada na área, preferencialmente como instrutor ou professor em curso de FIC.
